name,modelo,jaccard,accuracy,precision,recall,f1,roc auc
RandomForestClassifier(),RandomForestClassifier(),0.4202531138565053,0.6292976588628763,0.6686618589859236,0.5485241928799635,0.5690938088468817,0.8749381147384492
GradientBoostingClassifier(),GradientBoostingClassifier(),0.34319017345252306,0.5717725752508361,0.6053456021996049,0.47552741661498016,0.49136373869740607,0.840029896597554
AdaBoostClassifier(),AdaBoostClassifier(),0.2608942166866565,0.4882943143812709,0.4644602693101973,0.39145110586268766,0.39468531076187,0.7475981142874311
